"","weight"
"611",20.125
"612",20.402
"613",20.426
"614",20.694
"615",20.371
"616",20.705
"617",20.56
"618",20.679
"619",20.729
"620",20.624
"621",20.556
"622",20.465
"623",20.581
"624",20.392
"625",20.665
"626",20.48
"627",20.361
"628",20.331
"629",20.855
"630",20.581
"631",20.514
"632",20.708
"633",20.312
"634",20.511
"635",20.463
"636",20.602
"637",20.861
"638",20.417
"639",20.799
"640",20.621
"641",20.821
"642",20.905
"643",20.682
"644",20.898
"645",20.489
"646",20.503
"647",20.805
"648",20.365
"649",20.534
"650",20.278
"651",20.496
"652",20.781
"653",20.565
"654",20.516
"655",20.345
"656",20.116
"657",20.388
"658",20.17
"659",20.713
"660",20.498
"661",20.735
"662",20.725
"663",20.678
"664",20.622
"665",20.656
"666",20.558
"667",20.485
"668",20.432
"669",20.368
"670",20.476
"671",20.873
"672",20.5
"673",20.803
"674",20.355
"675",20.847
"676",20.25
"677",20.58
"678",20.593
"679",20.284
"680",21.005
"681",20.618
"682",20.293
"683",20.208
"684",20.17
"685",20.411
"686",20.18
"687",20.246
"688",20.142
"689",20.359
"690",20.44
"691",20.713
"692",20.647
"693",20.47
"694",20.469
"695",20.319
"696",20.763
"697",20.703
"698",20.388
"699",20.837
"700",20.307
"701",20.661
"702",20.791
"703",20.569
"704",20.362
"705",20.459
"706",20.641
"707",20.13
"708",20.331
"709",20.569
"710",20.424
"711",20.261
"712",20.55
"713",20.651
"714",20.158
"715",20.413
"716",20.348
"717",20.581
"718",20.458
"719",20.398
"720",20.535
"721",20.307
"722",20.313
"723",20.42
"724",20.884
"725",20.133
"726",20.472
"727",20.574
"728",20.554
"729",20.812
"730",20.163
"731",20.557
"732",20.295
"733",20.579
"734",20.64
"735",20.329
"736",20.457
"737",20.394
"738",20.244
"739",20.579
"740",20.585
"741",20.473
"742",20.597
"743",20.57
"744",20.965
"745",20.327
"746",20.575
"747",20.076
"748",20.474
"749",20.697
"750",20.325
"751",20.43
"752",20.382
"753",20.427
"754",20.669
"755",20.475
"756",20.863
"757",20.412
"758",20.267
"759",20.628
"760",20.48
"761",20.467
"762",20.177
"763",20.336
"764",20.386
"765",20.342
"766",20.237
"767",20.476
"768",20.719
"769",20.368
"770",20.479
"771",20.485
"772",20.678
"773",20.451
"774",21
"775",20.023
"776",20.5
"777",20.355
"778",20.475
"779",20.764
"780",20.572
"781",20.438
"782",20.249
"783",20.416
"784",20.345
"785",20.741
"786",20.39
"787",20.415
"788",20.507
"789",20.385
"790",20.721
"791",20.518
"792",20.5
"793",20.484
"794",20.273
"795",20.516
"796",20.465
"797",20.266
"798",20.361
"799",20.624
"800",20.71
"801",20.638
"802",20.599
"803",20.301
"804",20.721
"805",20.241
"806",20.633
"807",20.204
"808",20.724
"809",20.796
"810",20.552
"811",20.676
"812",20.561
"813",20.202
"814",20.159
"815",20.686
"816",20.718
"817",20.554
"818",20.412
"819",20.325
"820",20.389
"821",20.269
"822",20.348
"823",20.572
"824",20.308
"825",20.87
"826",20.631
"827",20.456
"828",20.43
"829",20.395
"830",20.588
"831",20.751
"832",20.176
"833",20.157
"834",20.4
"835",20.463
"836",20.823
"837",20.451
"838",20.537
"839",20.323
"840",20.358
"841",20.242
"842",20.76
"843",20.536
"844",20.258
"845",20.894
"846",20.171
"847",20.828
"848",20.211
"849",20.298
"850",20.372
"851",20.36
"852",20.726
"853",20.434
"854",20.758
"855",20.321
"856",20.404
"857",20.572
"858",20.133
"859",20.609
"860",20.643
"861",20.853
"862",20.987
"863",20.415
"864",20.518
"865",20.289
"866",20.493
"867",20.062
"868",20.229
"869",20.488
"870",20.369
"871",20.373
"872",20.303
"873",20.414
"874",20.679
"875",20.185
"876",20.637
"877",20.476
"878",20.406
"879",20.434
"880",20.28
"881",20.831
"882",20.22
"883",20.632
"884",20.631
"885",20.681
"886",20.642
"887",20.695
"888",20.327
"889",20.881
"890",20.657
"891",20.396
"892",20.342
"893",20.55
"894",20.938
"895",20.884
"896",20.657
"897",20.726
"898",20.17
"899",20.6
"900",20.35
"901",20.637
"902",20.625
"903",20.62
"904",20.549
"905",20.074
"906",20.476
"907",20.314
"908",20.219
"909",20.274
"910",20.336
"911",20.381
"912",20.622
"913",20.325
"914",20.472
"915",20.933
"916",20.393
"917",20.521
"918",20.683
"919",20.66
"920",20.481
"921",20.353
"922",20.468
"923",20.26
"924",20.341
"925",20.92
"926",20.542
"927",20.374
"928",20.595
"929",20.674
"930",20.49
"931",20.372
"932",20.337
"933",20.835
"934",20.249
"935",20.519
"936",20.763
"937",20.398
"938",20.543
"939",20.717
"940",20.519
"941",20.783
"942",20.347
"943",20.443
"944",20.818
"945",20.711
"946",20.584
"947",20.383
"948",20.69
"949",20.76
"950",20.366
"951",20.649
"952",20.325
"953",20.485
"954",20.237
"955",20.243
"956",20.299
"957",20.307
"958",20.725
"959",20.328
"960",20.513
"961",20.41
"962",20.776
"963",20.527
"964",20.654
"965",20.21
"966",20.56
"967",20.327
"968",20.714
"969",20.283
"970",20.573
"971",20.216
"972",20.49
"973",20.098
"974",20.127
"975",20.837
"976",20.383
"977",20.606
"978",20.607
"979",20.899
"980",20.522
"981",20.52
"982",20.443
"983",20.158
"984",20.707
"985",20.51
"986",20.506
"987",20.356
"988",20.423
"989",20.495
"990",20.236
"991",20.384
"992",20.062
"993",20.539
"994",20.296
"995",20.469
"996",20.551
"997",20.447
"998",20.597
"999",20.615
"1000",20.567
"1001",20.36
"1002",20.611
"1003",20.686
"1004",20.304
"1005",20.765
"1006",20.478
"1007",20.64
"1008",20.569
"1009",20.383
"1010",20.324
"1011",20.479
"1012",20.525
"1013",20.437
"1014",20.613
"1015",20.447
"1016",20.406
"1017",20.969
"1018",20.245
"1019",20.518
"1020",19.946
"1021",20.533
"1022",20.579
"1023",20.535
"1024",20.366
"1025",20.498
"1026",20.574
"1027",20.674
"1028",20.354
"1029",20.491
"1030",20.725
"1031",20.585
"1032",20.673
"1033",20.262
"1034",20.513
"1035",20.273
"1036",20.637
"1037",20.415
"1038",20.489
"1039",20.261
"1040",20.406
"1041",20.762
"1042",20.449
"1043",20.279
"1044",20.718
"1045",20.557
"1046",20.728
"1047",20.291
"1048",20.739
"1049",20.382
"1050",20.798
"1051",20.164
"1052",20.355
"1053",20.39
"1054",20.251
"1055",20.573
"1056",20.636
"1057",20.664
"1058",20.498
"1059",20.545
"1060",20.288
"1061",20.314
"1062",20.747
"1063",20.269
"1064",20.435
"1065",20.168
"1066",20.495
"1067",20.172
"1068",20.406
"1069",20.419
"1070",20.351
"1071",20.725
"1072",20.172
"1073",20.598
"1074",20.378
"1075",20.474
"1076",20.452
"1077",20.623
"1078",20.585
"1079",20.297
"1080",20.357
"1081",20.528
"1082",20.621
"1083",20.7
"1084",20.2
"1085",20.705
"1086",20.306
"1087",20.556
"1088",20.465
"1089",20.873
"1090",20.486
"1091",20.63
"1092",20.612
"1093",20.551
"1094",20.566
"1095",20.612
"1096",20.618
"1097",20.245
"1098",20.578
"1099",20.594
"1100",20.698
"1101",20.365
"1102",19.906
"1103",20.448
"1104",20.825
"1105",20.505
"1106",20.446
"1107",20.73
"1108",19.991
"1109",20.499
"1110",20.158
"1111",20.668
"1112",20.487
"1113",20.656
"1114",20.726
"1115",20.113
"1116",20.465
"1117",20.601
"1118",20.606
"1119",20.257
"1120",20.559
"1121",20.393
"1122",20.989
"1123",20.368
"1124",20.344
"1125",20.301
"1126",20.26
"1127",20.54
"1128",20.583
"1129",20.267
"1130",20.618
"1131",20.287
"1132",20.328
"1133",20.581
"1134",20.361
"1135",20.553
"1136",20.52
"1137",20.157
"1138",20.08
"1139",20.777
"1140",20.449
"1141",20.852
"1142",20.267
"1143",21.039
"1144",20.246
"1145",20.601
"1146",20.448
"1147",20.629
"1148",20.304
"1149",20.536
"1150",20.628
"1151",20.408
"1152",20.138
"1153",20.693
"1154",20.279
"1155",20.292
"1156",20.704
"1157",20.522
"1158",20.52
"1159",20.452
"1160",20.446
"1161",20.629
"1162",20.2
"1163",20.546
"1164",20.314
"1165",20.474
"1166",20.529
"1167",20.799
"1168",20.64
"1169",20.624
"1170",20.166
"1171",20.258
"1172",20.349
"1173",20.473
"1174",20.306
"1175",20.327
"1176",20.122
"1177",20.674
"1178",19.951
"1179",20.296
"1180",19.992
"1181",20.501
"1182",20.479
"1183",20.823
"1184",20.688
"1185",20.459
"1186",20.566
"1187",20.488
"1188",20.602
"1189",20.616
"1190",20.364
"1191",20.452
"1192",20.516
"1193",20.431
"1194",20.609
"1195",20.337
"1196",20.49
"1197",20.657
"1198",20.608
"1199",20.423
"1200",20.821
"1201",20.675
"1202",20.157
"1203",20.121
"1204",20.13
"1205",20.531
"1206",20.552
"1207",20.433
"1208",20.537
"1209",20.463
"1210",20.139
"1211",20.483
"1212",20.554
"1213",20.663
"1214",20.331
"1215",20.345
"1216",20.517
"1217",20.591
"1218",20.723
"1219",20.406
"1220",20.642
"1221",20.802
"1222",20.631
"1223",20.406
"1224",20.242
"1225",20.322
"1226",20.407
"1227",20.339
"1228",20.608
"1229",20.256
"1230",20.552
"1231",20.427
"1232",20.705
"1233",20.385
"1234",20.347
"1235",20.374
"1236",20.379
"1237",20.329
"1238",20.035
"1239",20.122
"1240",20.478
"1241",20.567
"1242",20.501
"1243",20.766
"1244",20.511
"1245",20.11
"1246",20.478
"1247",20.765
"1248",20.251
"1249",19.966
"1250",20.749
"1251",20.663
"1252",20.836
"1253",20.617
"1254",20.596
"1255",20.462
"1256",20.509
"1257",20.314
"1258",20.361
"1259",20.703
"1260",20.429
"1261",20.296
"1262",20.406
"1263",20.95
"1264",20.559
"1265",20.825
"1266",20.479
"1267",20.475
"1268",20.399
"1269",20.512
"1270",20.27
"1271",20.344
"1272",20.674
"1273",20.385
"1274",20.196
"1275",20.631
"1276",20.34
"1277",20.202
"1278",20.735
"1279",20.4
"1280",20.755
"1281",20.543
"1282",20.454
"1283",20.155
"1284",20.224
"1285",20.746
"1286",20.74
"1287",20.513
"1288",20.563
"1289",20.23
"1290",20.482
"1291",20.445
"1292",20.72
"1293",20.782
"1294",20.23
"1295",20.672
"1296",20.676
"1297",20.437
"1298",20.383
"1299",20.363
"1300",20.45
"1301",21.034
"1302",20.7
"1303",20.502
"1304",20.304
"1305",20.114
"1306",20.154
"1307",20.376
"1308",20.16
"1309",20.203
"1310",20.382
"1311",20.368
"1312",20.59
"1313",20.442
"1314",20.648
"1315",20.362
"1316",20.727
"1317",20.518
"1318",20.404
"1319",20.85
"1320",20.579
"1321",20.479
"1322",20.566
"1323",20.301
"1324",20.517
"1325",20.604
"1326",20.391
"1327",20.762
"1328",20.447
"1329",20.784
"1330",20.727
"1331",20.421
"1332",20.62
"1333",20.421
"1334",20.337
"1335",20.968
"1336",20.483
"1337",20.388
"1338",20.454
"1339",20.67
"1340",20.391
"1341",20.477
"1342",20.556
"1343",20.246
"1344",20.551
"1345",20.293
"1346",20.987
"1347",20.556
"1348",20.813
"1349",20.127
"1350",20.25
"1351",20.549
"1352",20.366
"1353",20.55
"1354",20.155
"1355",20.495
"1356",20.548
"1357",20.187
"1358",20.486
"1359",20.771
"1360",20.631
"1361",20.618
"1362",20.218
"1363",20.487
"1364",20.429
"1365",20.545
"1366",20.464
"1367",20.402
"1368",20.19
"1369",20.378
"1370",20.665
"1371",20.61
"1372",20.282
"1373",20.808
"1374",19.752
"1375",20.632
"1376",20.366
"1377",20.452
"1378",20.632
"1379",20.438
"1380",20.687
"1381",20.129
"1382",20.518
"1383",20.694
"1384",20.484
"1385",20.555
"1386",20.584
"1387",20.639
"1388",20.318
"1389",20.708
"1390",20.41
"1391",20.934
"1392",20.567
"1393",20.602
"1394",20.449
"1395",20.442
"1396",20.39
"1397",20.087
"1398",20.721
"1399",20.569
"1400",20.607
"1401",20.86
"1402",20.496
"1403",20.435
"1404",20.585
"1405",20.505
"1406",20.617
"1407",20.555
"1408",20.555
"1409",20.479
"1410",20.427
"1411",20.68
"1412",20.852
"1413",20.488
"1414",20.166
"1415",20.552
"1416",20.644
"1417",20.431
"1418",20.251
"1419",20.428
"1420",20.414
"1421",20.337
"1422",20.61
"1423",20.677
"1424",20.36
"1425",20.519
"1426",20.931
"1427",20.721
"1428",20.452
"1429",20.343
"1430",20.143
"1431",20.58
"1432",20.527
"1433",20.281
"1434",20.469
"1435",20.34
"1436",20.722
"1437",20.471
"1438",20.335
"1439",20.573
"1440",20.186
"1441",20.448
"1442",20.674
"1443",20.351
"1444",20.6
"1445",20.54
"1446",20.356
"1447",20.432
"1448",21.171
"1449",20.514
"1450",20.574
"1451",20.627
"1452",21.042
"1453",20.521
"1454",20.566
"1455",20.558
"1456",20.307
"1457",20.623
"1458",20.576
"1459",20.623
"1460",20.502
"1461",20.148
"1462",20.56
"1463",20.55
"1464",20.316
"1465",20.417
"1466",20.357
"1467",20.593
"1468",20.572
"1469",20.388
"1470",20.151
"1471",20.415
"1472",20.446
"1473",20.238
"1474",20.628
"1475",20.826
"1476",20.377
"1477",20.701
"1478",20.71
"1479",20.264
"1480",20.473
"1481",20.52
"1482",20.335
"1483",20.424
"1484",20.098
"1485",20.524
"1486",20.368
"1487",20.284
"1488",20.45
"1489",20.517
"1490",20.712
"1491",20.693
"1492",20.387
"1493",20.564
"1494",20.468
"1495",20.35
"1496",20.526
"1497",20.758
"1498",20.286
"1499",20.369
"1500",20.664
"1501",20.74
"1502",20.882
"1503",20.607
"1504",20.68
"1505",20.333
"1506",20.471
"1507",20.417
"1508",20.706
"1509",20.163
"1510",20.675
"1511",20.44
"1512",20.653
"1513",20.561
"1514",20.435
"1515",20.608
"1516",20.308
"1517",20.333
"1518",20.762
"1519",20.591
"1520",20.423
"1521",20.966
"1522",20.623
"1523",20.172
"1524",20.431
"1525",20.449
"1526",20.491
"1527",20.69
"1528",20.175
"1529",20.807
"1530",20.203
"1531",20.477
"1532",20.142
"1533",20.422
"1534",20.756
"1535",20.393
"1536",20.794
"1537",20.293
"1538",20.727
"1539",20.668
"1540",20.496
"1541",20.366
"1542",20.306
"1543",20.343
"1544",20.218
"1545",20.65
"1546",20.442
"1547",20.408
"1548",20.243
"1549",20.642
"1550",20.192
"1551",20.127
"1552",20.682
"1553",20.785
"1554",20.179
"1555",20.392
"1556",20.368
"1557",20.19
"1558",20.751
"1559",20.35
"1560",20.482
"1561",20.418
"1562",20.542
"1563",20.682
"1564",20.942
"1565",20.213
"1566",20.736
"1567",20.325
"1568",20.632
"1569",20.298
"1570",20.569
"1571",20.636
"1572",20.31
"1573",20.67
"1574",20.29
"1575",20.334
"1576",20.697
"1577",20.656
"1578",20.288
"1579",20.645
"1580",20.442
"1581",20.643
"1582",20.428
"1583",20.527
"1584",20.104
"1585",20.806
"1586",20.372
"1587",20.505
"1588",20.438
"1589",20.547
"1590",20.894
"1591",20.649
"1592",20.911
"1593",20.658
"1594",20.769
"1595",20.787
"1596",20.306
"1597",20.632
"1598",20.274
"1599",21.083
"1600",20.595
"1601",20.341
"1602",21.014
"1603",20.582
"1604",20.641
"1605",20.407
"1606",20.273
"1607",20.483
"1608",20.825
"1609",20.342
"1610",20.332
"1611",20.563
"1612",20.502
"1613",20.12
"1614",20.544
"1615",20.265
"1616",20.544
"1617",20.459
"1618",20.471
"1619",20.587
"1620",20.195
"1621",20.374
"1622",20.316
"1623",20.423
"1624",20.33
"1625",20.622
"1626",20.8
"1627",20.438
"1628",20.009
"1629",20.406
"1630",20.055
"1631",20.717
"1632",20.534
"1633",20.241
"1634",20.727
"1635",20.01
"1636",20.144
"1637",20.614
"1638",20.574
"1639",20.578
"1640",20.611
"1641",20.457
"1642",20.642
"1643",20.51
"1644",20.698
"1645",20.581
"1646",20.602
"1647",20.28
"1648",20.518
"1649",20.517
"1650",20.421
"1651",20.651
"1652",20.523
"1653",20.559
"1654",20.261
"1655",20.437
"1656",20.266
"1657",20.454
"1658",20.323
"1659",20.682
"1660",20.703
"1661",20.145
"1662",20.186
"1663",20.476
"1664",20.565
"1665",20.433
"1666",20.702
"1667",20.406
"1668",20.602
"1669",20.311
"1670",20.44
"1671",20.814
"1672",20.695
"1673",20.508
"1674",20.602
"1675",20.253
"1676",20.592
"1677",20.133
"1678",20.659
"1679",20.52
"1680",20.398
"1681",20.354
"1682",20.439
"1683",20.722
"1684",20.86
"1685",20.49
"1686",20.528
"1687",20.666
"1688",20.302
"1689",20.701
"1690",20.722
"1691",20.773
"1692",20.782
"1693",20.461
"1694",20.824
"1695",20.895
"1696",20.5
"1697",20.431
"1698",20.285
"1699",20.289
"1700",20.409
"1701",20.299
"1702",20.326
"1703",20.169
"1704",20.466
"1705",20.46
"1706",20.51
"1707",20.21
"1708",20.343
"1709",20.682
"1710",20.265
"1711",20.672
"1712",20.624
"1713",20.361
"1714",20.551
"1715",20.04
"1716",20.432
"1717",20.857
"1718",20.46
"1719",20.23
"1720",20.278
"1721",20.692
"1722",20.685
"1723",20.431
"1724",20.441
"1725",20.384
"1726",20.509
"1727",20.307
"1728",20.353
"1729",20.337
"1730",20.579
"1731",20.205
"1732",20.463
"1733",20.461
"1734",20.208
"1735",20.343
"1736",20.102
"1737",20.687
"1738",20.459
"1739",20.276
"1740",20.529
"1741",20.842
"1742",20.258
"1743",20.793
"1744",20.199
"1745",20.218
"1746",20.622
"1747",20.399
"1748",20.61
"1749",20.477
"1750",20.664
"1751",20.372
"1752",20.373
"1753",20.84
"1754",20.529
"1755",20.761
"1756",20.39
"1757",20.602
"1758",20.644
"1759",20.392
"1760",20.376
"1761",20.666
"1762",20.79
"1763",20.609
"1764",20.454
"1765",21.027
"1766",20.319
"1767",20.344
"1768",20.517
"1769",20.331
"1770",20.346
"1771",20.121
"1772",20.609
"1773",20.59
"1774",20.416
"1775",20.472
"1776",20.846
"1777",20.126
"1778",20.28
"1779",20.74
"1780",20.705
"1781",20.564
"1782",20.766
"1783",20.713
"1784",20.313
"1785",20.54
"1786",20.358
"1787",20.391
"1788",20.552
"1789",20.127
"1790",20.696
"1791",20.297
"1792",20.484
"1793",20.68
"1794",20.302
"1795",20.607
"1796",20.542
"1797",20.325
"1798",20.697
"1799",20.428
"1800",20.393
"1801",20.665
"1802",20.46
"1803",20.523
"1804",20.542
"1805",20.49
"1806",20.512
"1807",20.459
"1808",20.484
"1809",20.31
"1810",20.708
"1811",20.763
"1812",20.525
"1813",20.465
"1814",20.301
"1815",20.817
"1816",20.767
"1817",20.702
"1818",20.594
"1819",20.41
"1820",20.321
"1821",20.809
"1822",20.158
"1823",20.215
"1824",20.232
"1825",20.622
"1826",20.343
"1827",20.626
"1828",20.308
"1829",20.55
"1830",20.505
"1831",20.49
"1832",20.171
"1833",20.576
"1834",20.303
"1835",20.495
"1836",19.945
"1837",20.3
"1838",20.527
"1839",20.471
"1840",20.187
"1841",20.426
"1842",20.531
"1843",20.531
"1844",20.493
"1845",20.243
"1846",20.238
"1847",20.271
"1848",20.762
"1849",20.592
"1850",20.428
"1851",20.691
"1852",20.677
"1853",20.421
"1854",20.704
"1855",20.785
"1856",20.672
"1857",20.655
"1858",20.553
"1859",20.505
"1860",20.389
"1861",20.24
"1862",20.686
"1863",20.822
"1864",20.808
"1865",20.538
"1866",20.365
"1867",20.608
"1868",20.602
"1869",20.657
"1870",20.486
"1871",20.574
"1872",20.553
"1873",20.346
